id;name;university;faculty;exam
1.2.246.562.20.00000000000000056120;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056121;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056123;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056124;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056112;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Kemian tekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056125;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) ;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056126;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056128;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056129;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056131;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A
1.2.246.562.20.00000000000000056113;Automaatio ja robotiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056114;Bioinformaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056118;Elektroniikka ja sähköfysiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056116;Informaatioteknologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056119;Sähköenergiatekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Sähkötekniikan korkeakoulu;A
1.2.246.562.20.00000000000000056420;Fysikaalisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000056422;Kemian kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000056423;Matemaattisten tieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000056426;Matematiikan, fysiikan ja kemian opettajan kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000056427;Tietojenkäsittelytieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;A
1.2.246.562.20.00000000000000062830;Aineenopettaja ja luokanopettaja, matematiikka, fysiikka tai kemia, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
1.2.246.562.20.00000000000000062832;Aineenopettaja, matematiikka, fysiikka, kemia tai tietojenkäsittelytiede, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;A
