id;name;university;faculty;exam;match_key_x;matched_key;match_score;match_key_y;study_field
1.2.246.562.20.00000000000000056120;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.7759336099585;Energia- ja konetekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056121;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.5064935064935;Kestävät yhdyskunnat, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056123;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;94.29657794676805;Kiinteistötalous ja geoinformatiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056124;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Insinööritieteiden korkeakoulu;A;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.33333333333333;Rakennustekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056112;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Kemian tekniikan korkeakoulu;A;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.27354260089686;Kemian tekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056125;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) ;Aalto-yliopisto;Perustieteiden korkeakoulu;A;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v)  | Aalto-yliopisto;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) | Aalto-yliopisto;99.47089947089947;Informaatioverkostot, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056126;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;94.29657794676805;Teknillinen fysiikka ja matematiikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056128;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.61702127659575;Teknillinen psykologia, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056129;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.15068493150685;Tietotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
1.2.246.562.20.00000000000000056131;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta;Aalto-yliopisto;Perustieteiden korkeakoulu;A;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-yhteisvalinta | Aalto-yliopisto;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;93.15068493150685;Tuotantotalous, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v) - DIA-valintayhteistyö | Aalto-yliopisto;tekniikka
